
Generated at: 2025/09/02 22:22:18
mirDIP version: 5.3.0.2.
Database version: 5.2.3.1



Gene Symbol     - 
Micro RNA       - hsa-miR-126-5p
Minimum Score   - Medium


Results (4872) 
Gene Symbol	Uniprot	Pseudogene	MicroRNA	Integrated Score	Number of Sources	Score Class	Sources
SLC6A15	Q9H2J7		hsa-miR-126-5p	0.66076295323758	10	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
ADGRB3	O60242		hsa-miR-126-5p	0.656157521319869	10	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MirTar2|mirzag|PACCMIT
GNE	Q9Y223		hsa-miR-126-5p	0.652945304120125	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
L2HGDH	Q9H9P8		hsa-miR-126-5p	0.651245420981683	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
CNOT4	O95628		hsa-miR-126-5p	0.644642950880026	10	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag|PACCMIT
UBN2	Q6ZU65		hsa-miR-126-5p	0.640675284887088	10	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag|PACCMIT
BRWD3	Q6RI45		hsa-miR-126-5p	0.640385711807444	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
SOX6	P35712		hsa-miR-126-5p	0.639223740122213	10	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
MR1	Q95460		hsa-miR-126-5p	0.637411590715218	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
MDM4	O15151		hsa-miR-126-5p	0.636407852209333	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
TSHZ3	Q63HK5		hsa-miR-126-5p	0.635636603465786	10	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
PI15	O43692		hsa-miR-126-5p	0.635280633711528	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
USP15	Q9Y4E8		hsa-miR-126-5p	0.633350707058053	12	Very High	bitargeting_May_2021|Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
BZW1	Q7L1Q6		hsa-miR-126-5p	0.633341007619439	11	Very High	bitargeting_May_2021|Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
SPAST	Q9UBP0		hsa-miR-126-5p	0.629427232889232	10	Very High	bitargeting_May_2021|Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
TMEM182	Q6ZP80		hsa-miR-126-5p	0.629256710649405	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
KLHL32	Q96NJ5		hsa-miR-126-5p	0.624609203198256	10	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag|PACCMIT
RFX4	Q33E94		hsa-miR-126-5p	0.624008559809601	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag|PACCMIT
CD84	Q9UIB8		hsa-miR-126-5p	0.616955024449456	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag|RNA22
PLAG1	Q6DJT9		hsa-miR-126-5p	0.616585761292624	9	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
RORA	P35398		hsa-miR-126-5p	0.614365885122686	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2
GABRA4	P48169		hsa-miR-126-5p	0.614192964121929	7	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2
SLC25A53	Q5H9E4		hsa-miR-126-5p	0.61196898847764	7	Very High	DIANA|MBStar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
EIF3J	O75822		hsa-miR-126-5p	0.611584357408673	10	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
NDUFS1	P28331		hsa-miR-126-5p	0.611108856517745	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
MYEF2	Q9P2K5		hsa-miR-126-5p	0.610320870650043	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
PKIA	P61925		hsa-miR-126-5p	0.608564748867645	11	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag|PACCMIT
TSC22D4	Q9Y3Q8		hsa-miR-126-5p	0.607546646176086	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MirTar2|PACCMIT
ADAM9	Q13443		hsa-miR-126-5p	0.606339689304492	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag|PACCMIT
LAMTOR3	Q9UHA4		hsa-miR-126-5p	0.605757765702044	11	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag|RNA22
DENND1B	Q6P3S1		hsa-miR-126-5p	0.604421828831206	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
RASAL2	Q9UJF2		hsa-miR-126-5p	0.6036995626316	10	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
GASK1B	Q6UWH4		hsa-miR-126-5p	0.602708489019662	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
STEAP2	Q8NFT2		hsa-miR-126-5p	0.601759627230734	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
ZBTB41	Q5SVQ8		hsa-miR-126-5p	0.600971134053076	7	Very High	MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
AFF4	Q9UHB7		hsa-miR-126-5p	0.600755542730396	13	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag|PACCMIT|RNA22
PPARGC1A	Q9UBK2		hsa-miR-126-5p	0.600235677198862	10	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
C5orf47	Q569G3		hsa-miR-126-5p	0.600098951969103	7	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
EBF1	Q9UH73		hsa-miR-126-5p	0.599419668477135	10	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
MAT2B	Q9NZL9		hsa-miR-126-5p	0.598868666800394	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
SYNPO2	Q9UMS6		hsa-miR-126-5p	0.595594695130749	10	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag|RNA22
TTF2	Q9UNY4		hsa-miR-126-5p	0.595419300986745	7	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
CHRNA5	P30532		hsa-miR-126-5p	0.595366762635527	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
SLC49A4	Q96SL1		hsa-miR-126-5p	0.588990661062784	10	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
SAMSN1	Q9NSI8		hsa-miR-126-5p	0.585089970891273	10	Very High	bitargeting_May_2021|DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
MMP16	P51512		hsa-miR-126-5p	0.584039648850939	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
IDS	P22304		hsa-miR-126-5p	0.58175270025097	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag|PACCMIT
CYB561D1	Q8N8Q1		hsa-miR-126-5p	0.581564540521274	8	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|MirTar2|mirzag|PACCMIT
FXN	Q16595		hsa-miR-126-5p	0.581452400715584	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
RAB8B	Q92930		hsa-miR-126-5p	0.581246225146095	10	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirSNPInTarget|MirTar2|mirzag|PACCMIT
HECTD2	Q5U5R9		hsa-miR-126-5p	0.578761563226774	10	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
CAMK2A	Q9UQM7		hsa-miR-126-5p	0.578477838972164	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag|RNA22
SH3BGRL2	Q9UJC5		hsa-miR-126-5p	0.575201437704462	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
TNFAIP8L3	Q5GJ75		hsa-miR-126-5p	0.574475847884675	7	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
LDLRAD2	Q5SZI1		hsa-miR-126-5p	0.574039732559353	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag|PACCMIT
ARL11	Q969Q4		hsa-miR-126-5p	0.571218811475431	7	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
DAB2IP	Q5VWQ8		hsa-miR-126-5p	0.570539395034382	10	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
TLCD4	Q96MV1		hsa-miR-126-5p	0.569094021725012	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
TRMT10A	Q8TBZ6		hsa-miR-126-5p	0.567205332175673	10	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag|PACCMIT
FRYL	O94915		hsa-miR-126-5p	0.566841290654084	10	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag|PACCMIT
ADCYAP1	P18509		hsa-miR-126-5p	0.565414295858102	9	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag|PACCMIT
ZNF33A	Q06730		hsa-miR-126-5p	0.565338508347366	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
PNRC1	Q12796		hsa-miR-126-5p	0.565195912142121	8	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
ZDHHC15	Q96MV8		hsa-miR-126-5p	0.565056482516716	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
SHISAL1	Q3SXP7		hsa-miR-126-5p	0.564882111189106	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
TRDN	Q13061		hsa-miR-126-5p	0.564666216675525	9	Very High	bitargeting_May_2021|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
SYT10	Q6XYQ8		hsa-miR-126-5p	0.56387527501464	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag|RNA22
COMMD10	Q9Y6G5		hsa-miR-126-5p	0.563302957144344	10	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
HOXA13	P31271		hsa-miR-126-5p	0.563122203707563	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
EREG	O14944		hsa-miR-126-5p	0.562597113297069	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag|PACCMIT
ST8SIA3	O43173		hsa-miR-126-5p	0.562139403171299	10	Very High	bitargeting_May_2021|DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MirTar2|mirzag|PACCMIT
A2ML1	A8K2U0		hsa-miR-126-5p	0.562118100718368	6	Very High	DIANA|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
PPP6R3	Q5H9R7		hsa-miR-126-5p	0.560455908271919	11	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag|PACCMIT
ANO5	Q75V66		hsa-miR-126-5p	0.559717448935062	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
MGAT3	Q09327		hsa-miR-126-5p	0.559330689292959	9	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag|PACCMIT
PTPN20	Q4JDL3		hsa-miR-126-5p	0.558243228161396	7	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
GABRA5	P31644		hsa-miR-126-5p	0.558028200241852	9	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag|PACCMIT
S1PR3	Q99500		hsa-miR-126-5p	0.557598901443654	6	Very High	DIANA|MBStar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
CELF2	O95319		hsa-miR-126-5p	0.557512068725741	9	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirSNPInTarget|MirTar2|PACCMIT
C11orf87	Q6NUJ2		hsa-miR-126-5p	0.557476350650759	8	Very High	Cupid|DIANA|MBStar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
DYRK2	Q92630		hsa-miR-126-5p	0.557302392702949	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
PRTG	Q2VWP7		hsa-miR-126-5p	0.557264842695067	9	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
RSBN1	Q5VWQ0		hsa-miR-126-5p	0.55547058480559	10	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
LPP	Q93052		hsa-miR-126-5p	0.553640488266598	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
JPH1	Q9HDC5		hsa-miR-126-5p	0.549856010909055	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag|PACCMIT
HSPB8	Q9UJY1		hsa-miR-126-5p	0.549802577653604	6	Very High	DIANA|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2
COBLL1	Q53SF7		hsa-miR-126-5p	0.54957105408348	11	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MirTar2|mirzag|PACCMIT|RNA22
COL11A1	P12107		hsa-miR-126-5p	0.549075050292397	12	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag|PACCMIT|RNA22
QRSL1	Q9H0R6		hsa-miR-126-5p	0.548726276628286	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
ARSK	Q6UWY0		hsa-miR-126-5p	0.546800846569696	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
COMMD2	Q86X83		hsa-miR-126-5p	0.54645800434646	7	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
GGT6	Q6P531		hsa-miR-126-5p	0.546112486519983	7	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
INO80D	Q53TQ3		hsa-miR-126-5p	0.544870266381565	9	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag|PACCMIT
KMT2A	Q03164		hsa-miR-126-5p	0.544818130619138	9	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
ETV1	P50549		hsa-miR-126-5p	0.544261612887838	8	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
HIF1A	Q16665		hsa-miR-126-5p	0.544037554255659	10	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|MirTar2|mirzag
KL	Q9UEF7		hsa-miR-126-5p	0.543793727145778	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|RNA22
CLEC1A	Q8NC01		hsa-miR-126-5p	0.543627549861765	7	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|PACCMIT
TFEC	O14948		hsa-miR-126-5p	0.543471295383588	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag|PACCMIT
RGS18	Q9NS28		hsa-miR-126-5p	0.543120136204731	12	Very High	bitargeting_May_2021|DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag|RNA22
SLC41A2	Q96JW4		hsa-miR-126-5p	0.542636368441777	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
SRSF12	Q8WXF0		hsa-miR-126-5p	0.541816444316171	7	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
MMRN1	Q13201		hsa-miR-126-5p	0.541111087722689	7	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2
TMEM33	P57088		hsa-miR-126-5p	0.538487499187299	10	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|MirTar2|mirzag
PLCB1	Q9NQ66		hsa-miR-126-5p	0.538451961302442	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
JARID2	Q92833		hsa-miR-126-5p	0.53388098131936	9	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
NFAT5	O94916		hsa-miR-126-5p	0.531443754252864	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
TRAF6	Q9Y4K3		hsa-miR-126-5p	0.530047416633181	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
FPGT	O14772		hsa-miR-126-5p	0.529610866038269	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MirTar2|mirzag
CD44	P16070		hsa-miR-126-5p	0.528998930030416	10	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag|PACCMIT
CDCA7	Q9BWT1		hsa-miR-126-5p	0.528492157386877	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag|PACCMIT
LIN9	Q5TKA1		hsa-miR-126-5p	0.528130867295276	10	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
MTCH2	Q9Y6C9		hsa-miR-126-5p	0.527731313755532	9	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|MirTar2|mirzag|PACCMIT
CCP110	O43303		hsa-miR-126-5p	0.526362653892005	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
E2F7	Q96AV8		hsa-miR-126-5p	0.525146090772094	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
GRIK5	Q16478		hsa-miR-126-5p	0.523685350570418	7	Very High	DIANA|MBStar|MirAncesTar|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
CDK19	Q9BWU1		hsa-miR-126-5p	0.522897265059844	9	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
NWD1	Q149M9		hsa-miR-126-5p	0.521813227474157	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
CPED1	A4D0V7		hsa-miR-126-5p	0.521693395901192	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
ZNF10	P21506		hsa-miR-126-5p	0.521688861522042	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
CFAP418			hsa-miR-126-5p	0.521325501951484	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
BCL11B	Q9C0K0		hsa-miR-126-5p	0.519963118964816	9	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|PACCMIT
TMEM47	Q9BQJ4		hsa-miR-126-5p	0.514078621059077	10	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag|PACCMIT
